hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_units,exact_p_value,p_value_bh
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,8,0.4375,0.6298374613003096
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,8,0.0625,0.19246688741721854
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,8,0.125,0.26182432432432434
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,8,0.4375,0.6298374613003096
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,8,0.1875,0.3824013157894737
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,8,0.25,0.41517857142857145
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,8,0.5,0.6396148555708391
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,8,0.0625,0.19246688741721854
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,8,0.125,0.26182432432432434
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,8,0.5,0.6396148555708391
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,8,0.1875,0.3824013157894737
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,8,0.25,0.41517857142857145
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,8,0.9375,1.0
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,8,0.0625,0.19246688741721854
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,8,0.125,0.26182432432432434
