hypothesis_id,model_a,model_b,scope,stratum,metric,iterations,seed,sequence_units,mean_a,mean_b,mean_delta,ci95_lower,ci95_upper,p_value,p_method,p_sign_assignments,p_value_bh
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,10000,0,8,0.7017252458515603,0.7167919778583841,-0.015066732006823944,-0.0437804328050609,0.006867382694055164,0.4375,exact_two_sided_paired_sign_flip,256,0.6298374613003096
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,10000,0,8,0.6957293513533165,0.7424785599262624,-0.046749208572945955,-0.08648341463688404,-0.011112228701690124,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,10000,0,8,0.706453634085213,0.5204846794405369,0.1859689546446762,0.02419354838709678,0.43596895464467617,0.125,exact_two_sided_paired_sign_flip,256,0.26182432432432434
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,10000,0,8,0.7017252458515603,0.7167919778583841,-0.015066732006823944,-0.0437804328050609,0.006864160571883701,0.4375,exact_two_sided_paired_sign_flip,256,0.6298374613003096
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,10000,0,8,0.6808675325308599,0.6628637407632649,0.018003791767594972,-0.0010494591770520562,0.04006143901465028,0.1875,exact_two_sided_paired_sign_flip,256,0.3824013157894737
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,10000,0,8,0.7062577782598156,0.7441279767975162,-0.037870198537700586,-0.07967213322001512,0.0,0.25,exact_two_sided_paired_sign_flip,256,0.41517857142857145
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,10000,0,8,0.659742727942429,0.6703983647853164,-0.010655636842887485,-0.035703684326415804,0.009123433445598683,0.5,exact_two_sided_paired_sign_flip,256,0.6396148555708391
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,10000,0,8,0.6395906158081716,0.6811491196729473,-0.04155850386477581,-0.07706861232165803,-0.010485191961296561,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,10000,0,8,0.706453634085213,0.5204846794405369,0.1859689546446762,0.02419354838709678,0.43490783410138245,0.125,exact_two_sided_paired_sign_flip,256,0.26182432432432434
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,10000,0,8,0.659742727942429,0.6703983647853164,-0.010655636842887485,-0.035373358037539576,0.009123433445598683,0.5,exact_two_sided_paired_sign_flip,256,0.6396148555708391
