hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_id,value_a,value_b,delta
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq16,0.9509543528984427,0.9509543528984427,0.0
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq17,0.7989039861856915,0.8394223016686246,-0.040518315482933165
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq18,0.5149259558180292,0.6204065374479214,-0.10548058162989216
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq19,0.7984926343614056,0.8091924347521301,-0.01069980039072449
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq20,0.5169688038132322,0.5169688038132322,0.0
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq21,0.9130207417530777,0.8942722986269663,0.018748443126111347
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq22,0.8664986138838444,0.8490822155609975,0.017416398322846915
H0001,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,dice,positive_seq23,0.25403687809875825,0.25403687809875825,0.0
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq16,0.9708537610890217,0.9708537610890217,0.0
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq17,0.780248889311331,0.8837182955709852,-0.10346940625965428
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq18,0.5435774145809972,0.6979573546289115,-0.15437994004791433
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq19,0.7948288640770674,0.8057232062930778,-0.010894342216010378
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq20,0.4155605741383248,0.4155605741383248,0.0
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq21,0.8051664615268939,0.8831699489244045,-0.07800348739751062
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq22,0.8604303690603828,0.8876768617228609,-0.027246492662478028
H0002,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,dice,positive_seq23,0.3951684770425129,0.3951684770425129,0.0
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq16,0.8571428571428571,0.8571428571428571,0.0
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq17,0.8421052631578947,0.7368421052631579,0.10526315789473684
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq18,0.2857142857142857,0.0,0.2857142857142857
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq19,1.0,1.0,0.0
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq20,0.6666666666666666,0.6666666666666666,0.0
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq21,1.0,0.9032258064516129,0.09677419354838712
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq22,1.0,0.0,1.0
H0003,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,dice,positive_seq23,0.0,0.0,0.0
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq16,0.9509543528984427,0.9509543528984427,0.0
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq17,0.7989039861856915,0.8394223016686246,-0.040518315482933165
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq18,0.5149259558180292,0.6204065374479214,-0.10548058162989216
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq19,0.7984926343614056,0.8091924347521301,-0.01069980039072449
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq20,0.5169688038132322,0.5169688038132322,0.0
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq21,0.9130207417530777,0.8942722986269663,0.018748443126111347
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq22,0.8664986138838444,0.8490822155609975,0.017416398322846915
H0004,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,dice,positive_seq23,0.25403687809875825,0.25403687809875825,0.0
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq16,0.9427982551518531,0.9427982551518531,0.0
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq17,0.909095294353549,0.8350212202794749,0.07407407407407407
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq18,0.34847015074200455,0.3427934534396172,0.005676697302387346
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq19,0.8356458510585631,0.8527655316837224,-0.017119680625159228
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq20,0.426179025807654,0.426179025807654,0.0
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq21,0.9663994088068427,0.9108438532512871,0.05555555555555558
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq22,0.8822620096557814,0.8564183218218794,0.025843687833902007
