predictor,cohort,control,dataset,split,sequence_unit,target_empty,prediction_empty,threshold,boundary_ratio,dice,iou,precision,sensitivity,specificity,f2,mae,boundary_iou,false_positive_fraction
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.5438821816936381,0.37351522991885217,0.9956112852664577,0.3741312286488397,0.9997008994381182,0.4275022882679158,0.09705280512571335,0.31938350770615365,0.00025318287037037036
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.8244181561013244,0.7012852064533771,0.9982095593959209,0.7021684371919834,0.9997508935340627,0.7464432905674436,0.04984472692012787,0.3437061048082118,0.00020797164351851852
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq05,False,False,0.5,0.02,0.9826007965900356,0.9657967032967033,0.9908399098083427,0.9744975744975745,0.9993712334465114,0.9777227722772277,0.002873847261071205,0.8803088803088803,0.0005877459490740741
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq05,False,False,0.5,0.02,0.9759907804596966,0.9531074152807303,0.9781827515400411,0.9738086112175802,0.9983457402812241,0.9746803069053709,0.003890061052516103,0.8361138370951914,0.001537181712962963
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq05,False,False,0.5,0.02,0.9765341812400636,0.9541444016403628,0.9741182441004821,0.9789621318373072,0.998014579217316,0.9779895042543435,0.00384884187951684,0.8310242454230579,0.0018446180555555555
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq05,False,False,0.5,0.02,0.9849414974552705,0.9703297839346635,0.9784217658709475,0.9915487006127192,0.9979530486719538,0.9888952104009946,0.003427517833188176,0.8766355140186916,0.0018717447916666667
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9522906332068864,0.9089263333797521,0.9223486186674204,0.984241875895348,0.9887084014014322,0.9712074994420058,0.012472345493733883,0.6278608483368935,0.009937427662037037
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9704826732673267,0.9426579311173889,0.9764647282236474,0.9645734670028907,0.995992918702893,0.9669284930391999,0.009594134986400604,0.7405503477472029,0.00341796875
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9775700934579439,0.9561243144424132,0.9770289905209991,0.9781117960795179,0.9965472414331028,0.9778950430049446,0.007658123504370451,0.8364935421819181,0.003002025462962963
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9702155824508321,0.9421540721696814,0.9542453268855203,0.986729493220502,0.9890415840702051,0.9800569256337275,0.012342804111540318,0.6931196247068022,0.008897569444444444
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.983359846476277,0.9672644180616959,0.9827394771373776,0.9839809995452019,0.9962336046165876,0.9837324441750025,0.0075831287540495396,0.8312151934885049,0.0030924479166666665
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9820444250395678,0.9647222817928373,0.9748090362424834,0.9893880244130423,0.994967804772469,0.9864374444943919,0.0076666404493153095,0.8279009126466753,0.004204644097222222
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.4875246506044757,0.32233560090702945,0.9977188980522899,0.32257332501276453,0.9998601624267197,0.3730628419961421,0.10763367265462875,0.25592246949030867,0.00011754918981481481
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9855409345205264,0.9714940386034409,0.9851140077974245,0.985968231445351,0.9955644735452529,0.9857972682204025,0.008362671360373497,0.8220828105395233,0.00341796875
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9863845626408071,0.9731349052957093,0.9904788133926112,0.982324020602466,0.997151734852408,0.9839442190590093,0.008264466188848019,0.8351218280520136,0.00218822337962963
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.986139918971834,0.9726587893388399,0.9842510544441435,0.988036047234307,0.9952031868753536,0.987276721601627,0.008220684714615345,0.8311976343026122,0.003680193865740741
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9862030372614476,0.9727816056949256,0.9868695450683556,0.9855374291334028,0.9959840780506243,0.9858035645397731,0.008264271542429924,0.8327192336035372,0.003074363425925926
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9780229918993227,0.9569911887909865,0.9748032075332892,0.9812641167104824,0.9918047496560387,0.9799650923720916,0.013247608207166195,0.7441515462741071,0.006193938078703704
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9614771519659936,0.9258122281913533,0.9491836600878631,0.9740932642487047,0.991904398784093,0.969007296338443,0.011762965470552444,0.7561278662600248,0.007007740162037037
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.977685421994885,0.9563449871786853,0.9815135759676488,0.9738870135660149,0.996964938719162,0.9754028296952145,0.008541450835764408,0.8524396020843202,0.0026041666666666665
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9663395129043983,0.9348712899141933,0.9577748955180861,0.9750586854460094,0.9939562706270627,0.9715522030231266,0.009712595492601395,0.8029355149181906,0.005298755787037037
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9597188947452484,0.9225572683166493,0.9528702822708531,0.9666666666666667,0.9921832260236502,0.9638755213346166,0.013232623226940632,0.7624279923191807,0.006718388310185185
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9605704374638658,0.9241323049540195,0.9518753341990681,0.9694258596545823,0.9935541959115185,0.9658641697800239,0.010363513603806496,0.7686749796061065,0.005696614583333333
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.6208195442193344,0.4501365587202497,0.9931990358126722,0.45152831591718523,0.9990710363236557,0.5068089966613952,0.1280108094215393,0.35672315421953504,0.0007143373842592593
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9743467224130208,0.9499767062660145,0.9845494598346309,0.9643532750059116,0.9972671762244332,0.9683259530112901,0.009358443319797516,0.8082304526748971,0.0023148148148148147
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.983660987330712,0.9678473177441541,0.9794107412133163,0.9879482829228339,0.9962031679483203,0.9862288877987245,0.007292083464562893,0.873717252203308,0.0032099971064814816
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9802527410151466,0.9612702876896936,0.9874804381846636,0.9731300788896139,0.9977809309421442,0.9759666864961333,0.008201438933610916,0.8485844287158746,0.001880787037037037
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9758933263268523,0.9529215573087038,0.9851468735494994,0.966811999739702,0.9976476765555263,0.9704241727520935,0.008161840960383415,0.8269713380002641,0.002025462962962963
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.969382241700186,0.9405836779868352,0.983373934226553,0.9557831182668403,0.9970863839142778,0.961176722701081,0.010480489581823349,0.7795543245625078,0.002468532986111111
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9688910225636101,0.9396591861439613,0.9661081857348014,0.9716899374097255,0.996467312662788,0.9705684332018851,0.006538804154843092,0.788415859674767,0.003200954861111111
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq06,False,False,0.5,0.02,0.9754161827332559,0.9520120914415265,0.9954563413670486,0.9561669829222011,0.9995402390756807,0.9637747685716471,0.005517605692148209,0.821879118810017,0.00041594328703703704
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9636536631779258,0.9298567756151304,0.9398663697104677,0.9886762983209684,0.9969280364084574,0.9785129077137116,0.003796186065301299,0.7913148371531966,0.0029296875
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9803098773402195,0.9613801836024058,0.9768414281119331,0.9838030450275348,0.9986209274263058,0.9824027948502296,0.002677034819498658,0.8756598240469208,0.0013020833333333333
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9858887552996266,0.9721702233869961,0.986950462435069,0.9848293299620733,0.9989969030599326,0.9852528267523335,0.002665230305865407,0.9005424954792043,0.0009313512731481482
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.8685705079147702,0.7676753292986828,0.995384047267356,0.7704180064308682,0.9994823855813327,0.8068909776686822,0.03094184398651123,0.4904952799689642,0.0004521122685185185
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9792977568567174,0.959435294117647,0.9657067070860175,0.9932768196433791,0.9963918707452482,0.9876375755696791,0.004405622836202383,0.8336544637122671,0.003273292824074074
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9815173717797211,0.9637055601967882,0.981378202098497,0.9816565809379728,0.9980303151495761,0.9816008925363539,0.004189256578683853,0.8463026655202064,0.001781322337962963
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9800526910048928,0.9608856088560885,0.9887981773305486,0.9714605484051483,0.9994393287149224,0.9748792632248886,0.0023172867950052023,0.8754993342210386,0.0005334924768518518
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9815870519625188,0.9638399176425171,0.9895626899194081,0.9737389495579823,0.9992322643343051,0.9768630826616584,0.003085714764893055,0.8738738738738738,0.0007143373842592593
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.980736301369863,0.9622007559848803,0.9969538729329852,0.9650379106992418,0.9997970426210496,0.9712565711378667,0.0029308414086699486,0.8692328692328692,0.00018988715277777778
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9840356589637403,0.9685730288132429,0.9850009493070059,0.9830722587165235,0.9974989447024061,0.983457392359312,0.005806220229715109,0.8483110261312938,0.002143012152777778
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9870652700637418,0.9744608817251785,0.9868077811731386,0.9873228933631618,0.9981786750632833,0.987219827907601,0.0040985108353197575,0.8688906128782001,0.0016004774305555555
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.988801504530689,0.9778510440442979,0.9864403888794133,0.9911739502999143,0.9983926730151028,0.9902236071636475,0.0034581925719976425,0.9082511022464833,0.001437717013888889
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9885901931318528,0.9774378164208672,0.9883701519114129,0.9888103323498302,0.9977436871822,0.9887222648987453,0.004811072256416082,0.8765964504893017,0.0018898292824074073
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9889416254831922,0.9781251512365097,0.9860948477751756,0.9918048876239082,0.9968408451016472,0.9906575954827073,0.004951446782797575,0.871826625386997,0.0025770399305555555
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.2649537741803735,0.15270704044511021,0.9555436529191216,0.15379973274710118,0.9981005343677412,0.18481301149901586,0.17935234308242798,0.23924022837066317,0.0015010127314814814
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9894612300343989,0.9791422748363037,0.9885299010594519,0.9903943155401552,0.9970157074026403,0.9900208702362371,0.005710228346288204,0.8695463738803814,0.002369068287037037
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9881567169317634,0.9765906771010547,0.9928396001245287,0.983517801459754,0.9974572835927231,0.9853681312267837,0.008504829369485378,0.8353474320241692,0.0018717447916666667
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9788316343900827,0.9585408903706609,0.9632636972802523,0.9949110450677848,0.9891664438735775,0.9884163013055929,0.010842001996934414,0.7357207033756898,0.008427372685185185
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9724710509067075,0.9464171805230703,0.968029578077425,0.9769534679543459,0.9986136783733827,0.9751555516606782,0.002839357126504183,0.8640677966101695,0.0013292100694444445
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9895757575757576,0.9793666026871402,0.9895757575757576,0.9895757575757576,0.9981720018705097,0.9895757575757576,0.004150781314820051,0.8900869565217391,0.0015552662037037037
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9854923438023918,0.9713996121981315,0.993196359376408,0.9779069251585999,0.9982850847804113,0.9809270367931078,0.006914564874023199,0.8297993453820977,0.001365379050925926
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9855196294464181,0.9714526353118489,0.9946895424836601,0.9765172444523661,0.9986727169597277,0.980098389982111,0.006928228307515383,0.8317770232031693,0.0010579427083333333
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9831287774852608,0.9668173862310385,0.9849182763744428,0.9813457694870087,0.9979090056961569,0.9820581960412469,0.004774798173457384,0.8412668310259814,0.001835575810185185
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9839286613935211,0.9683657278857596,0.9827898550724637,0.9850701099566226,0.9983015325936888,0.9846132128740824,0.0033659618347883224,0.8697421981004071,0.0015462239583333333
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9873139656213961,0.9749457700650759,0.996894754352889,0.9779155787641427,0.999723865877712,0.981653379927924,0.0028000501915812492,0.8995876788746059,0.00025318287037037036
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.10217646292193405,0.053838758412306,0.9150326797385621,0.05410926759241366,0.9975527437507563,0.06665125073112341,0.3115089535713196,0.14071137999374153,0.0016456886574074073
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq07,False,False,0.5,0.02,0.9788031385408127,0.9584862385321101,0.9737853897238727,0.9838728663919953,0.9977962134048992,0.9818386861828349,0.0037389735225588083,0.8491537895511405,0.0020345052083333335
