slice,dataset,task,selection_mode,nominal_budget,threshold,max_gap_frames,sequences_or_clips,frames,failure_frames,reviewed_frames,caught_failure_frames,safe_referred_frames,failure_episodes,captured_failure_episodes,residual_failure_episodes,referral_episodes,false_referral_episodes,redundant_failure_hits,within_referral_episode_extra_frames,review_fraction,frame_failure_recall,episode_failure_recall,false_referral_episode_fraction,reviewed_frames_per_sequence_or_clip,referral_episodes_per_sequence_or_clip,false_referral_episodes_per_sequence_or_clip,redundant_failure_hits_per_captured_episode,failure_episode_duration_mean_frames,failure_episode_duration_median_frames,failure_episode_duration_p95_frames,failure_episode_duration_max_frames,captured_episode_duration_mean_frames,captured_episode_duration_median_frames,captured_episode_duration_p95_frames,captured_episode_duration_max_frames,residual_episode_duration_mean_frames,residual_episode_duration_median_frames,residual_episode_duration_p95_frames,residual_episode_duration_max_frames,referral_episode_duration_mean_frames,referral_episode_duration_median_frames,referral_episode_duration_p95_frames,referral_episode_duration_max_frames,false_referral_episode_duration_mean_frames,false_referral_episode_duration_median_frames,false_referral_episode_duration_p95_frames,false_referral_episode_duration_max_frames
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.01,,0,173,29592,3439,296,215,81,778,74,704,159,50,141,137,0.010002703433360368,0.06251817388775807,0.09511568123393316,0.31446540880503143,1.7109826589595376,0.9190751445086706,0.28901734104046245,1.9054054054054055,4.420308483290489,2.0,17.0,101,7.6891891891891895,4.0,32.099999999999966,62,4.076704545454546,2.0,15.850000000000023,101,1.8616352201257862,1.0,4.199999999999989,17,1.26,1.0,2.0,3
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.01,,2,173,29592,3439,296,215,81,427,61,366,113,32,154,183,0.010002703433360368,0.06251817388775807,0.14285714285714285,0.2831858407079646,1.7109826589595376,0.653179190751445,0.18497109826589594,2.5245901639344264,9.1288056206089,3.0,38.0,126,14.852459016393443,7.0,66.0,116,8.174863387978142,2.0,35.0,126,3.2123893805309733,1.0,8.399999999999991,58,1.9375,1.0,4.899999999999999,7
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.01,,5,173,29592,3439,296,215,81,301,55,246,96,26,160,200,0.010002703433360368,0.06251817388775807,0.18272425249169436,0.2708333333333333,1.7109826589595376,0.5549132947976878,0.15028901734104047,2.909090909090909,14.548172757475083,4.0,71.0,160,25.945454545454545,12.0,116.3,139,12.0,3.0,55.0,160,4.458333333333333,1.0,17.5,58,2.5384615384615383,1.0,7.0,7
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,0,173,29592,3439,4,3,1,778,3,775,4,1,0,0,0.00013517166801838335,0.0008723466123873219,0.0038560411311053984,0.25,0.023121387283236993,0.023121387283236993,0.005780346820809248,0.0,4.420308483290489,2.0,17.0,101,22.666666666666668,4.0,56.199999999999996,62,4.349677419354839,2.0,17.0,101,1.0,1.0,1.0,1,1.0,1.0,1.0,1
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,2,173,29592,3439,4,3,1,427,3,424,4,1,0,0,0.00013517166801838335,0.0008723466123873219,0.00702576112412178,0.25,0.023121387283236993,0.023121387283236993,0.005780346820809248,0.0,9.1288056206089,3.0,38.0,126,44.0,14.0,105.79999999999998,116,8.882075471698114,3.0,37.849999999999966,126,1.0,1.0,1.0,1,1.0,1.0,1.0,1
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,5,173,29592,3439,4,3,1,301,3,298,4,1,0,0,0.00013517166801838335,0.0008723466123873219,0.009966777408637873,0.25,0.023121387283236993,0.023121387283236993,0.005780346820809248,0.0,14.548172757475083,4.0,71.0,160,44.0,14.0,105.79999999999998,116,14.251677852348994,4.0,70.14999999999998,160,1.0,1.0,1.0,1,1.0,1.0,1.0,1
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.05,,0,173,29592,3439,1480,624,856,778,216,562,548,290,408,932,0.05001351716680184,0.18144809537656295,0.2776349614395887,0.5291970802919708,8.554913294797688,3.167630057803468,1.676300578034682,1.8888888888888888,4.420308483290489,2.0,17.0,101,5.842592592592593,2.0,22.0,90,3.873665480427046,2.0,14.949999999999932,101,2.7007299270072993,1.0,8.0,105,2.0551724137931036,1.0,6.0,32
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.05,,2,173,29592,3439,1480,624,856,427,151,276,332,166,473,1148,0.05001351716680184,0.18144809537656295,0.35362997658079626,0.5,8.554913294797688,1.9190751445086704,0.9595375722543352,3.1324503311258276,9.1288056206089,3.0,38.0,126,13.913907284768213,5.0,57.5,116,6.510869565217392,2.0,27.0,126,5.331325301204819,2.0,21.0,107,3.289156626506024,1.0,11.75,32
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.05,,5,173,29592,3439,1480,624,856,301,124,177,253,116,500,1227,0.05001351716680184,0.18144809537656295,0.4119601328903654,0.45849802371541504,8.554913294797688,1.4624277456647399,0.6705202312138728,4.032258064516129,14.548172757475083,4.0,71.0,160,23.95967741935484,8.0,115.09999999999997,160,7.954802259887006,2.0,34.19999999999999,126,8.118577075098814,2.0,32.39999999999998,107,5.155172413793103,1.0,26.5,37
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,0,173,29592,3439,72,52,20,778,23,755,51,16,29,21,0.0024330900243309003,0.01512067461471358,0.02956298200514139,0.3137254901960784,0.4161849710982659,0.2947976878612717,0.09248554913294797,1.2608695652173914,4.420308483290489,2.0,17.0,101,13.130434782608695,7.0,39.599999999999994,62,4.154966887417219,2.0,16.0,101,1.411764705882353,1.0,3.0,5,1.0,1.0,1.0,1
