unit,label,aggregation,selection_mode,nominal_budget,threshold,units,failures,failure_prevalence,reviewed_units,review_fraction,caught_failures,failure_recall,review_ppv,failure_recall_lift_over_random,false_referrals,safe_unit_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_units,remaining_failure_rate_unreviewed,auroc,auprc
frame,label_any_false_positive,none,exact_rank,0.01,,149685,121099,0.809025620469653,1497,0.01000100210441928,1497,0.012361786637379335,1.0,1.2360547981403645,0,0.0,119602,0.9876382133626207,0.7990246183652336,0.807096391070802,0.983411043110233,0.9957632392556038
frame,label_any_false_positive,none,frozen_sun_validation_threshold,0.01,0.13528396,149685,121099,0.809025620469653,1580,0.010555499883087818,1580,0.013047176277260753,1.0,1.2360547981403645,0,0.0,119519,0.9869528237227393,0.7984701205865651,0.8069882853381047,0.983411043110233,0.9957632392556038
frame,label_any_false_positive,none,exact_rank,0.05,,149685,121099,0.809025620469653,7485,0.0500050105220964,7485,0.06180893318689667,1.0,1.2360547981403645,0,0.0,113614,0.9381910668131034,0.7590206099475565,0.7989732770745429,0.983411043110233,0.9957632392556038
frame,label_any_false_positive,none,frozen_sun_validation_threshold,0.05,0.09579211,149685,121099,0.809025620469653,8728,0.05830911580986739,8728,0.07207326237210877,1.0,1.2360547981403645,0,0.0,112371,0.9279267376278912,0.7507165046597856,0.797200564711224,0.983411043110233,0.9957632392556038
frame,label_any_false_positive,none,exact_rank,0.1,,149685,121099,0.809025620469653,14969,0.10000334034806427,14969,0.12360960866728875,1.0,1.2360547981403645,0,0.0,106130,0.8763903913327112,0.7090222801215886,0.7878054574066926,0.983411043110233,0.9957632392556038
frame,label_any_false_positive,none,frozen_sun_validation_threshold,0.1,0.07180122,149685,121099,0.809025620469653,18314,0.12235026889801917,18314,0.1512316369251604,1.0,1.2360547981403645,0,0.0,102785,0.8487683630748396,0.6866753515716337,0.7824025089251052,0.983411043110233,0.9957632392556038
frame,label_any_false_positive,none,exact_rank,0.2,,149685,121099,0.809025620469653,29937,0.2,29937,0.2472109596280729,1.0,1.2360547981403645,0,0.0,91162,0.7527890403719271,0.6090256204696529,0.7612820255870661,0.983411043110233,0.9957632392556038
frame,label_any_false_positive,none,frozen_sun_validation_threshold,0.2,0.04186127,149685,121099,0.809025620469653,35256,0.23553462270768613,35256,0.2911337005260159,1.0,1.2360547981403645,0,0.0,85843,0.708866299473984,0.5734909977619668,0.7501857046727666,0.983411043110233,0.9957632392556038
frame,label_large_false_positive_001,none,exact_rank,0.01,,149685,115721,0.7730968366903831,1497,0.01000100210441928,1497,0.012936286413010603,1.0,1.2934990191927136,0,0.0,114224,0.9870637135869894,0.7630958345859639,0.7708046535481955,0.9720057098587068,0.9911991371107806
frame,label_large_false_positive_001,none,frozen_sun_validation_threshold,0.01,0.13528396,149685,115721,0.7730968366903831,1580,0.010555499883087818,1580,0.013653528745862894,1.0,1.2934990191927134,0,0.0,114141,0.9863464712541371,0.7625413368072953,0.7706762094460011,0.9720057098587068,0.9911991371107806
