aggregation,method,source,endpoint,frames,sequences,failure_frames,failure_prevalence,failure_sequences,failure_sequence_fraction,run_count,run_length_mean,run_length_median,run_length_p95,run_length_max,sequences_with_run_ge3,sequences_with_run_ge5
source,SALI causal,PolypGen negative,any_foreground,647,4,647,1.000000000000,4,1.000000000000,4,161.750000000000,170.500000000000,204.600000000000,207,4,4
source,SALI causal,PolypGen negative,total_area_ge_001,647,4,647,1.000000000000,4,1.000000000000,4,161.750000000000,170.500000000000,204.600000000000,207,4,4
source,SALI causal,PolypGen negative,largest_component_ge_001,647,4,645,0.996908809892,4,1.000000000000,6,107.500000000000,95.000000000000,192.750000000000,207,4,4
source,SALI causal,PolypGen negative,total_area_ge_005,647,4,637,0.984544049459,4,1.000000000000,9,70.777777777778,50.000000000000,178.600000000000,207,4,4
source,SALI causal,PolypGen negative,largest_component_ge_005,647,4,632,0.976816074189,4,1.000000000000,13,48.615384615385,39.000000000000,133.400000000000,185,4,4
source,SALI causal,PolypGen negative,total_area_ge_010,647,4,582,0.899536321484,4,1.000000000000,30,19.400000000000,11.000000000000,51.300000000000,76,4,4
source,SALI causal,PolypGen negative,largest_component_ge_010,647,4,521,0.805255023184,4,1.000000000000,48,10.854166666667,4.000000000000,37.300000000000,50,4,4
source,SALI causal,SUN negative case 1,any_foreground,9961,1,9897,0.993574942275,1,1.000000000000,30,329.900000000000,121.000000000000,1628.300000000000,2485,1,1
source,SALI causal,SUN negative case 1,total_area_ge_001,9961,1,9875,0.991366328682,1,1.000000000000,44,224.431818181818,104.000000000000,1030.950000000001,1603,1,1
source,SALI causal,SUN negative case 1,largest_component_ge_001,9961,1,9872,0.991065154101,1,1.000000000000,46,214.608695652174,98.500000000000,997.500000000000,1603,1,1
source,SALI causal,SUN negative case 1,total_area_ge_005,9961,1,9678,0.971589197872,1,1.000000000000,163,59.374233128834,36.000000000000,215.800000000000,435,1,1
source,SALI causal,SUN negative case 1,largest_component_ge_005,9961,1,9569,0.960646521434,1,1.000000000000,235,40.719148936170,24.000000000000,122.200000000000,389,1,1
source,SALI causal,SUN negative case 1,total_area_ge_010,9961,1,8603,0.863668306395,1,1.000000000000,643,13.379471228616,7.000000000000,46.000000000000,184,1,1
source,SALI causal,SUN negative case 1,largest_component_ge_010,9961,1,7943,0.797409898605,1,1.000000000000,875,9.077714285714,5.000000000000,32.000000000000,137,1,1
source,SALI causal,SUN negative case 2,any_foreground,10073,4,9946,0.987392038122,3,0.750000000000,57,174.491228070175,47.000000000000,579.399999999999,1096,3,3
source,SALI causal,SUN negative case 2,total_area_ge_001,10073,4,9928,0.985605082895,3,0.750000000000,69,143.884057971014,49.000000000000,473.600000000000,1010,3,3
source,SALI causal,SUN negative case 2,largest_component_ge_001,10073,4,9923,0.985108706443,3,0.750000000000,73,135.931506849315,63.000000000000,467.400000000000,640,3,3
source,SALI causal,SUN negative case 2,total_area_ge_005,10073,4,9685,0.961481187332,3,0.750000000000,222,43.626126126126,14.500000000000,180.000000000000,455,3,3
source,SALI causal,SUN negative case 2,largest_component_ge_005,10073,4,9546,0.947681921970,3,0.750000000000,295,32.359322033898,12.000000000000,125.600000000000,315,3,3
source,SALI causal,SUN negative case 2,total_area_ge_010,10073,4,8825,0.876104437605,3,0.750000000000,625,14.120000000000,6.000000000000,53.800000000000,146,3,3
source,SALI causal,SUN negative case 2,largest_component_ge_010,10073,4,8089,0.803037823886,3,0.750000000000,871,9.287026406429,4.000000000000,36.000000000000,133,3,3
source,SALI causal,SUN negative case 3,any_foreground,7152,2,7119,0.995385906040,2,1.000000000000,21,339.000000000000,46.000000000000,1410.000000000000,1651,2,2
