slice,dataset,source,task,frames,failures,auroc,auprc,brier,nll,adaptive_ece_10,mean_predicted_risk,observed_failure_rate,calibrator_fit_split
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,9961,8863,0.9909144707731761,0.9988163849450082,0.08537418364676695,0.2506115836878901,0.14778590281670725,0.7556077193417502,0.8897701034032728,sun_val_pooled
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,3932,910,0.8098441102246529,0.7458834327921142,0.18004714063631244,0.5787541252390568,0.25923352519548126,0.4872439550565992,0.23143438453713122,sun_val_pooled
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,10073,9041,0.9897735466938299,0.998775420311313,0.06649603807672143,0.19794996939842413,0.10472113851771683,0.7976798207172585,0.8975479003276084,sun_val_pooled
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,7152,6392,0.9855941431723866,0.9981230169669753,0.0876499073665773,0.2550355334758462,0.14136681850246569,0.7600878763167788,0.8937360178970917,sun_val_pooled
sun_test_positive_easy_seen,SUN-SEG,easy_seen,positive_lesion_preservation,4719,407,0.6692593778632739,0.3328131123653521,0.5645384175121132,2.324378680574646,0.6671697086785623,0.7534167949256483,0.08624708624708624,sun_val_pooled
sun_test_positive_easy_unseen,SUN-SEG,easy_unseen,positive_lesion_preservation,12351,1663,0.43117162210455817,0.23370169636881452,0.6754808844795612,3.1952295633784065,0.7202960028536345,0.8229681166599205,0.1346449680187839,sun_val_pooled
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,3882,316,0.44431675387094716,0.10503209441969512,0.5726039275724395,2.7776507768401864,0.6545850981134115,0.7359864376291251,0.08140133951571354,sun_val_pooled
sun_test_positive_hard_unseen,SUN-SEG,hard_unseen,positive_lesion_preservation,8640,1053,0.5753545043998013,0.3052000931865506,0.6311652044591706,3.1299742737914693,0.6879286844313224,0.8098036844313226,0.121875,sun_val_pooled
sun_test_positive_pooled,SUN-SEG,easy_seen,positive_lesion_preservation,29592,3439,0.5108292438460782,0.24730139227651626,0.6313543190663073,2.9825237014115418,0.6804087675210767,0.7966226090998819,0.11621384157880509,sun_val_pooled
sun_val_pooled,SUN-SEG,official_train_val,positive_lesion_preservation,14005,9951,0.9233312421789313,0.9716305134910362,0.09837629050544772,0.3048633532445767,0.02820536115442697,0.7105228179484109,0.7105319528739735,sun_val_pooled
polypgen_test_negative,PolypGen-Video,test_negative_sequence,negative_false_positive,647,418,0.9903574935751447,0.9940566971730698,0.11862861585879131,0.3559699652188224,0.21229348825602773,0.5066859351983234,0.6460587326120556,sun_val_pooled
