held_out_case,train_cases,selection_mode,nominal_budget,threshold,frames,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_recall,review_precision,failure_recall_lift_over_random,precision_lift_over_prevalence,false_referrals,safe_frame_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_frames,remaining_failure_rate_unreviewed,auroc,auprc,brier,nll,adaptive_ece_10,mean_predicted_risk,observed_failure_rate
case1,case2;case3,heldout_exact_rank,0.01,,9961,8863,0.8897701034032728,100,0.010039152695512499,100,0.01128286133363421,1.0,1.1238858174433037,1.1238858174433035,0,0.0,8763,0.9887171386663658,0.8797309507077603,0.8886522665044113,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case1,case2;case3,train_cases_frozen_threshold,0.01,0.14312476,9961,8863,0.8897701034032728,152,0.015259512097178999,152,0.017149949227123998,1.0,1.1238858174433035,1.1238858174433035,0,0.0,8711,0.982850050772876,0.8745105913060938,0.8880619838923438,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case1,case2;case3,heldout_exact_rank,0.05,,9961,8863,0.8897701034032728,499,0.05009537195060737,499,0.05630147805483471,1.0,1.1238858174433037,1.1238858174433035,0,0.0,8364,0.9436985219451653,0.8396747314526654,0.8839568801521877,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case1,case2;case3,train_cases_frozen_threshold,0.05,0.1020883,9961,8863,0.8897701034032728,506,0.05079811263929324,506,0.0570912783481891,1.0,1.1238858174433035,1.1238858174433035,0,0.0,8357,0.9429087216518109,0.8389719907639795,0.8838709677419355,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case1,case2;case3,heldout_exact_rank,0.1,,9961,8863,0.8897701034032728,997,0.10009035237425962,997,0.11249012749633307,1.0,1.1238858174433035,1.1238858174433035,0,0.0,7866,0.887509872503667,0.7896797510290131,0.8775100401606426,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case1,case2;case3,train_cases_frozen_threshold,0.1,0.07980662,9961,8863,0.8897701034032728,919,0.09225981327175986,919,0.10368949565609839,1.0,1.1238858174433037,1.1238858174433035,0,0.0,7944,0.8963105043439016,0.7975102901315129,0.8785666887856669,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case1,case2;case3,heldout_exact_rank,0.2,,9961,8863,0.8897701034032728,1993,0.2000803132215641,1993,0.2248674263793298,1.0,1.1238858174433035,1.1238858174433035,0,0.0,6870,0.7751325736206702,0.6896897901817086,0.8621987951807228,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case1,case2;case3,train_cases_frozen_threshold,0.2,0.05079356,9961,8863,0.8897701034032728,1750,0.17568517217146873,1750,0.19745007333859868,1.0,1.1238858174433037,1.1238858174433035,0,0.0,7113,0.8025499266614013,0.714084931231804,0.866276945560833,0.9909144707731761,0.9988163849450082,0.021733375663031667,0.08016081840236475,0.02117677550977517,0.8850936672944937,0.8897701034032728
case2,case1;case3,heldout_exact_rank,0.01,,10073,9041,0.8975479003276084,101,0.010026804328402661,101,0.011171330605021568,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8940,0.9888286693949784,0.8875210959992058,0.8965102286401926,0.9897735466938299,0.998775420311313,0.020382492010604353,0.08265337063992784,0.007301923110548959,0.9042464776860962,0.8975479003276084
case2,case1;case3,train_cases_frozen_threshold,0.01,0.14991781,10073,9041,0.8975479003276084,71,0.00704854561699593,71,0.007853113593629023,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8970,0.9921468864063709,0.8904993547106125,0.8968206358728255,0.9897735466938299,0.998775420311313,0.020382492010604353,0.08265337063992784,0.007301923110548959,0.9042464776860962,0.8975479003276084
case2,case1;case3,heldout_exact_rank,0.05,,10073,9041,0.8975479003276084,504,0.05003474635163308,504,0.055746045791394756,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8537,0.9442539542086053,0.8475131539759754,0.8921517399937298,0.9897735466938299,0.998775420311313,0.020382492010604353,0.08265337063992784,0.007301923110548959,0.9042464776860962,0.8975479003276084
case2,case1;case3,train_cases_frozen_threshold,0.05,0.10025277,10073,9041,0.8975479003276084,593,0.05887024719547305,593,0.0655900895918593,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8448,0.9344099104081407,0.8386776531321354,0.8911392405063291,0.9897735466938299,0.998775420311313,0.020382492010604353,0.08265337063992784,0.007301923110548959,0.9042464776860962,0.8975479003276084
case2,case1;case3,heldout_exact_rank,0.1,,10073,9041,0.8975479003276084,1008,0.10006949270326616,1008,0.11149209158278951,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8033,0.8885079084172105,0.7974784076243423,0.8861555432984004,0.9897735466938299,0.998775420311313,0.020382492010604353,0.08265337063992784,0.007301923110548959,0.9042464776860962,0.8975479003276084
case2,case1;case3,train_cases_frozen_threshold,0.1,0.07469677,10073,9041,0.8975479003276084,1286,0.12766802342896852,1286,0.1422409025550271,1.0,1.1141466651919036,1.1141466651919036,0,0.0,7755,0.8577590974449729,0.7698798768986399,0.8825537726186412,0.9897735466938299,0.998775420311313,0.020382492010604353,0.08265337063992784,0.007301923110548959,0.9042464776860962,0.8975479003276084
case2,case1;case3,heldout_exact_rank,0.2,,10073,9041,0.8975479003276084,2015,0.2000397101161521,2015,0.22287357593186594,1.0,1.1141466651919034,1.1141466651919036,0,0.0,7026,0.777126424068134,0.6975081902114564,0.8719285182427401,0.9897735466938299,0.998775420311313,0.020382492010604353,0.08265337063992784,0.007301923110548959,0.9042464776860962,0.8975479003276084
