slice,dataset,system,temporal_mode,presence_stratum,task,metric,estimate_median,ci_lower_025,ci_upper_975,bootstrap_iterations_valid,cluster_count,independent_unit_type
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,auprc,0.29140727864156035,0.17827377543165843,0.45070813333799503,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,aurc,0.034403400212734,0.011133876433142646,0.07996835088114863,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,auroc,0.7665051144185671,0.6481322932504233,0.8669634164816925,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_01_failure_recall,0.0625,0.010869565217391304,0.1892213642213642,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_05_failure_recall,0.18181818181818182,0.08571428571428572,0.40912004662004664,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_10_failure_recall,0.2727272727272727,0.1453475935828877,0.5002659574468082,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_20_failure_recall,0.4583333333333333,0.2686532614704257,0.7502717391304345,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,auprc,0.25252101117228265,0.1267558508264272,0.3952687467661352,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,aurc,0.03407376492253269,0.010519854028905163,0.07621209317000117,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,auroc,0.7540903879831735,0.6532039104181597,0.8615860272599369,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_01_failure_recall,0.04878048780487805,0.0,0.16666666666666666,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_05_failure_recall,0.1518987341772152,0.06556486101211689,0.3262681159420288,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_10_failure_recall,0.2549019607843137,0.13920776953295502,0.48651944627554383,1000,29,sequence
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_20_failure_recall,0.4782608695652174,0.2903013582342954,0.7317479674796747,1000,29,sequence
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,aurc,0.0,0.0,0.0,1000,22,sequence
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_01_failure_recall,0.0,0.0,0.0,1000,22,sequence
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_05_failure_recall,0.0,0.0,0.0,1000,22,sequence
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_10_failure_recall,0.0,0.0,0.0,1000,22,sequence
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_20_failure_recall,0.0,0.0,0.0,1000,22,sequence
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,auprc,0.2,0.0625,0.5,941,4,sequence
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,aurc,0.00611701728706792,0.0,0.02208916666410629,1000,4,sequence
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,auroc,0.8333333333333334,0.6428571428571428,0.9666666666666667,941,4,sequence
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_01_failure_recall,0.0,0.0,0.0,1000,4,sequence
