slice,dataset,split,system,temporal_mode,presence_stratum,task,selection_mode,nominal_budget,threshold,frames,independent_units,independent_unit_type,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_capture,review_precision,false_referrals,remaining_failures,residual_failure_rate_all_frames,auroc,auprc
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.01,,612,29,sequence,56,0.0915032679738562,7,0.011437908496732025,3,0.05357142857142857,0.42857142857142855,4,53,0.08660130718954248,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.01,0.13528396,612,29,sequence,56,0.0915032679738562,1,0.0016339869281045752,1,0.017857142857142856,1.0,0,55,0.08986928104575163,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.05,,612,29,sequence,56,0.0915032679738562,31,0.05065359477124183,10,0.17857142857142858,0.3225806451612903,21,46,0.07516339869281045,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.05,0.09579211,612,29,sequence,56,0.0915032679738562,2,0.0032679738562091504,2,0.03571428571428571,1.0,0,54,0.08823529411764706,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.1,,612,29,sequence,56,0.0915032679738562,62,0.10130718954248366,16,0.2857142857142857,0.25806451612903225,46,40,0.06535947712418301,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.1,0.07180122,612,29,sequence,56,0.0915032679738562,5,0.008169934640522876,3,0.05357142857142857,0.6,2,53,0.08660130718954248,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,exact_rank,0.2,,612,29,sequence,56,0.0915032679738562,123,0.20098039215686275,26,0.4642857142857143,0.21138211382113822,97,30,0.049019607843137254,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,frozen_sun_entropy_threshold,0.2,0.04186127,612,29,sequence,56,0.0915032679738562,17,0.027777777777777776,8,0.14285714285714285,0.47058823529411764,9,48,0.0784313725490196,0.7665724563206577,0.2761741659063136
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.01,,612,29,sequence,54,0.08823529411764706,7,0.011437908496732025,3,0.05555555555555555,0.42857142857142855,4,51,0.08333333333333333,0.7556418425594053,0.23979660350660315
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.05,,612,29,sequence,54,0.08823529411764706,31,0.05065359477124183,8,0.14814814814814814,0.25806451612903225,23,46,0.07516339869281045,0.7556418425594053,0.23979660350660315
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.1,,612,29,sequence,54,0.08823529411764706,62,0.10130718954248366,14,0.25925925925925924,0.22580645161290322,48,40,0.06535947712418301,0.7556418425594053,0.23979660350660315
cvc_sali_full,CVC-ClinicDB-VideoProbe,test,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,exact_rank,0.2,,612,29,sequence,54,0.08823529411764706,123,0.20098039215686275,26,0.48148148148148145,0.21138211382113822,97,28,0.0457516339869281,0.7556418425594053,0.23979660350660315
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,62,3,sequence,7,0.11290322580645161,1,0.016129032258064516,0,0.0,0.0,1,7,0.11290322580645161,0.8987012987012988,0.3969405594405595
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,62,3,sequence,7,0.11290322580645161,4,0.06451612903225806,1,0.14285714285714285,0.25,3,6,0.0967741935483871,0.8987012987012988,0.3969405594405595
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,62,3,sequence,7,0.11290322580645161,7,0.11290322580645161,2,0.2857142857142857,0.2857142857142857,5,5,0.08064516129032258,0.8987012987012988,0.3969405594405595
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,62,3,sequence,7,0.11290322580645161,13,0.20967741935483872,6,0.8571428571428571,0.46153846153846156,7,1,0.016129032258064516,0.8987012987012988,0.3969405594405595
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,488,22,sequence,0,0.0,5,0.010245901639344262,0,0.0,0.0,5,0,0.0,,
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,488,22,sequence,0,0.0,25,0.05122950819672131,0,0.0,0.0,25,0,0.0,,
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,488,22,sequence,0,0.0,49,0.10040983606557377,0,0.0,0.0,49,0,0.0,,
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,488,22,sequence,0,0.0,98,0.20081967213114754,0,0.0,0.0,98,0,0.0,,
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.01,,62,4,sequence,2,0.03225806451612903,1,0.016129032258064516,0,0.0,0.0,1,2,0.03225806451612903,0.8083333333333333,0.14761904761904762
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.05,,62,4,sequence,2,0.03225806451612903,4,0.06451612903225806,0,0.0,0.0,4,2,0.03225806451612903,0.8083333333333333,0.14761904761904762
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.1,,62,4,sequence,2,0.03225806451612903,7,0.11290322580645161,1,0.5,0.14285714285714285,6,1,0.016129032258064516,0.8083333333333333,0.14761904761904762
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,test,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,exact_rank,0.2,,62,4,sequence,2,0.03225806451612903,13,0.20967741935483872,1,0.5,0.07692307692307693,12,1,0.016129032258064516,0.8083333333333333,0.14761904761904762
