predictor,method,split,frames,positive_frames,auroc,auprc,best_f1,best_f1_threshold,recall_at_top10_val_threshold,precision_at_top10_val_threshold,flagged_fraction_top10_val_threshold
spatial_mamba_tiny,gru,val,14005,9951,0.83781431,0.91335831,0.92468536,0.18809326,0.14078987,1.00000000,0.10003570
spatial_mamba_tiny,gru,sunpos_easy_seen,4719,407,0.95735460,0.64103844,0.66810805,0.66935259,0.01719902,0.87500000,0.00169527
spatial_mamba_tiny,gru,sunpos_easy_unseen,12351,1663,0.91386336,0.65631525,0.63243818,0.64564019,0.01683704,0.96551724,0.00234799
spatial_mamba_tiny,gru,sunpos_hard_seen,3882,316,0.94828798,0.66589363,0.63101602,0.66766274,0.00316456,1.00000000,0.00025760
spatial_mamba_tiny,gru,sunpos_hard_unseen,8640,1053,0.91557008,0.63492670,0.61431330,0.61447209,0.03323837,0.87500000,0.00462963
spatial_mamba_tiny,gru,sunneg_test,7152,6392,0.34451586,0.89321223,0.94388658,0.04158650,0.10904255,1.00000000,0.09745526
spatial_mamba_tiny,gru_reverse_order_control,val,14005,9951,0.83666928,0.91235508,0.92389661,0.16292332,0.14078987,1.00000000,0.10003570
spatial_mamba_tiny,gru_reverse_order_control,sunpos_easy_seen,4719,407,0.96200535,0.65585813,0.68298107,0.64489585,0.00982801,1.00000000,0.00084764
spatial_mamba_tiny,gru_reverse_order_control,sunpos_easy_unseen,12351,1663,0.91553723,0.67247697,0.64740193,0.64733213,0.01924233,0.96969697,0.00267185
spatial_mamba_tiny,gru_reverse_order_control,sunpos_hard_seen,3882,316,0.94995811,0.65456632,0.62269127,0.65416777,0.00316456,1.00000000,0.00025760
spatial_mamba_tiny,gru_reverse_order_control,sunpos_hard_unseen,8640,1053,0.91458737,0.61595073,0.59811610,0.64767772,0.02754036,0.93548387,0.00358796
spatial_mamba_tiny,gru_reverse_order_control,sunneg_test,7152,6392,0.33707523,0.89115268,0.94388658,0.04070271,0.10528786,1.00000000,0.09409955
