method,slice,dice_failure_below,boundary_iou_failure_below,frames,independent_units,failures,failure_prevalence,auroc,auprc,reviewed_frames,review_fraction,caught_failures,failure_capture,remaining_failures
SALI causal,CVC independent,0.30,0.10,612,29,29,0.047385620915,0.732122789377,0.102827062101,123,0.200980392157,11,0.379310344828,18
SALI causal,CVC independent,0.30,0.20,612,29,43,0.070261437908,0.795234397352,0.280326367118,123,0.200980392157,21,0.488372093023,22
SALI causal,CVC independent,0.30,0.30,612,29,82,0.133986928105,0.815462494248,0.442851300766,123,0.200980392157,42,0.512195121951,40
SALI causal,CVC independent,0.50,0.10,612,29,49,0.080065359477,0.734331387973,0.184695307213,123,0.200980392157,20,0.408163265306,29
SALI causal,CVC independent,0.50,0.20,612,29,56,0.091503267974,0.766572456321,0.276174165906,123,0.200980392157,26,0.464285714286,30
SALI causal,CVC independent,0.50,0.30,612,29,84,0.137254901961,0.796987734488,0.435761750481,123,0.200980392157,42,0.500000000000,42
SALI causal,CVC independent,0.70,0.10,612,29,80,0.130718954248,0.714403195489,0.280038470553,123,0.200980392157,32,0.400000000000,48
SALI causal,CVC independent,0.70,0.20,612,29,81,0.132352941176,0.719025365604,0.292696453085,123,0.200980392157,33,0.407407407407,48
SALI causal,CVC independent,0.70,0.30,612,29,96,0.156862745098,0.757267441860,0.425386748902,123,0.200980392157,44,0.458333333333,52
SALI causal,PolypGen positive,0.30,0.10,478,2,63,0.131799163180,0.786498374450,0.280489667934,96,0.200836820084,30,0.476190476190,33
SALI causal,PolypGen positive,0.30,0.20,478,2,78,0.163179916318,0.778589743590,0.311009426885,96,0.200836820084,33,0.423076923077,45
SALI causal,PolypGen positive,0.30,0.30,478,2,111,0.232217573222,0.738395070820,0.354367433158,96,0.200836820084,34,0.306306306306,77
SALI causal,PolypGen positive,0.50,0.10,478,2,86,0.179916317992,0.750978879924,0.304665286913,96,0.200836820084,30,0.348837209302,56
SALI causal,PolypGen positive,0.50,0.20,478,2,94,0.196652719665,0.755263741135,0.328186399193,96,0.200836820084,33,0.351063829787,61
SALI causal,PolypGen positive,0.50,0.30,478,2,113,0.236401673640,0.736962056007,0.357254813027,96,0.200836820084,34,0.300884955752,79
SALI causal,PolypGen positive,0.70,0.10,478,2,127,0.265690376569,0.700024676403,0.361049495819,96,0.200836820084,34,0.267716535433,93
SALI causal,PolypGen positive,0.70,0.20,478,2,127,0.265690376569,0.700024676403,0.361049495819,96,0.200836820084,34,0.267716535433,93
SALI causal,PolypGen positive,0.70,0.30,478,2,134,0.280334728033,0.701687782020,0.375611160844,96,0.200836820084,34,0.253731343284,100
SALI causal,SUN easy unseen,0.30,0.10,12351,39,776,0.062828920735,0.764243281156,0.202472305254,2471,0.200064772083,500,0.644329896907,276
SALI causal,SUN easy unseen,0.30,0.20,12351,39,1211,0.098048740993,0.799295654585,0.382067641389,2471,0.200064772083,822,0.678777869529,389
SALI causal,SUN easy unseen,0.30,0.30,12351,39,2027,0.164116265889,0.798459225485,0.539007231334,2471,0.200064772083,1251,0.617168228910,776
SALI causal,SUN easy unseen,0.50,0.10,12351,39,1368,0.110760262327,0.740764568102,0.299458792119,2471,0.200064772083,807,0.589912280702,561
SALI causal,SUN easy unseen,0.50,0.20,12351,39,1495,0.121042830540,0.761979381037,0.386880940072,2471,0.200064772083,916,0.612709030100,579
SALI causal,SUN easy unseen,0.50,0.30,12351,39,2043,0.165411707554,0.796810559771,0.538097062688,2471,0.200064772083,1253,0.613313754283,790
SALI causal,SUN easy unseen,0.70,0.10,12351,39,2148,0.173913043478,0.766134184618,0.448566121826,2471,0.200064772083,1201,0.559124767225,947
